ID,x1,x2,Predicted
0,-1.3724117,0.641527492,0.596872886
1,-1.264036378,1.581535308,4.38145732
2,-0.662298652,0.302179608,-0.926909286
3,-0.344314738,2.48136551,5.037450052
4,0.463254261,1.923973259,3.80816588
5,-0.581260766,2.34887352,5.056395196
6,-0.798126095,0.727170101,1.533741518
7,-3.829157691,0.417039831,0.428401328
8,-0.888441337,0.393579241,-0.228890104
9,0.856076107,1.382854043,6.370824491
10,0.138998973,0.77347225,3.134173254
11,-1.682793543,3.059461854,5.015231136
12,-0.928277017,5.640836464,4.283128611
13,0.326943268,4.003161235,4.145529931
14,-0.445525427,0.966283291,3.659342436
15,-1.180290434,0.984694719,2.684427012
16,-0.265994592,1.538033549,5.029001689
17,-0.419384283,0.745610054,2.331682036
18,-1.462601543,1.369604675,3.537958271
19,-0.379647501,1.718995959,5.029001689
20,-0.634524437,1.296494661,4.640247252
21,0.350436447,2.300182917,3.982820517
22,-0.835092991,0.998316971,3.262619334
23,-0.745348222,0.662230507,0.879047733
24,-2.073806829,2.603070581,4.879799034
25,-0.611584351,1.167688699,4.170126444
26,-2.229529556,1.945955219,4.044787122
27,1.355617826,1.816323644,7.204310201
28,0.42768698,0.193377642,-3.454070305
29,0.592917949,0.358347738,-1.666667846
30,-0.531949644,2.480212769,5.071773316
31,-1.792827209,3.868786794,5.122367794
32,0.613008789,0.715479476,1.490333204
33,-0.37363472,1.012096573,4.06846898
34,-0.78384188,1.572937131,4.879799034
35,-0.789036315,0.772239069,2.190286328
36,-1.379014992,0.947883819,2.684427012
37,0.238860299,1.212776156,3.896608463
38,0.094516377,1.395929427,4.879503834
39,0.039809222,1.508418793,5.015481127
40,0.461789385,1.120080219,2.793880552
41,2.064508897,0.570051888,4.058122727
42,0.695379918,1.0054665,5.519448251
43,-0.160335712,1.048407092,4.703785969
44,-1.746363188,1.207169365,3.079316598
45,0.445148568,2.848272359,4.254911328
46,-1.327311209,1.444555104,3.893513899
47,-0.757843598,2.809317702,5.071773316
48,1.370989398,1.387511036,7.158095106
49,-0.270795341,0.786415367,2.732232462
50,0.686904889,3.430486962,4.728248836
51,1.051919821,1.140666815,7.173443048
52,-0.942898666,3.013083302,5.056395196
53,0.728431618,1.118012151,5.750396153
54,-0.39963745,3.29273101,4.207438945
55,-1.479546428,2.401218048,5.015231136
56,0.544962755,0.8191192,1.487836489
57,0.077643441,3.130718856,4.264113797
58,0.708407491,1.120874883,5.750396153
59,-0.270609025,3.377459096,4.283128611
60,-1.051375931,0.733298646,1.26256623
61,-1.765268207,1.892672538,4.38145732
62,-0.367482751,2.581197732,4.748313286
63,-1.118170115,0.451742982,-0.127164714
64,-0.093781903,0.653251936,1.273104109
65,0.081613338,1.713000613,4.25589823
66,-0.119435719,2.247751911,4.375030977
67,1.046329759,0.541494047,2.157405275
68,0.739112216,0.273525703,-2.479856755
69,-0.32461793,1.639199892,5.029001689
70,0.456615073,2.047426527,3.80816588
71,-0.202221358,0.194628029,-4.124524508
72,0.684616033,1.319386065,5.083642374
73,0.086988469,2.277586988,4.017479173
74,0.071775633,2.351963891,4.017479173
75,0.851912793,0.622769198,2.321389611
76,-0.038126911,0.46920596,-1.499391095
77,0.204159042,1.840554878,3.779860751
78,1.022803542,0.400790996,0.629335333
79,0.820488519,1.050744587,6.452083925
80,0.777702299,2.004912465,5.613581578
81,-0.759699962,1.373017827,4.640247252
82,0.766334136,0.527648507,0.238331027
83,0.090430039,0.590626088,-0.220081469
84,-0.055745085,1.601463791,4.996073159
85,1.117902009,1.03874217,6.895250038
86,0.397995371,2.478059438,3.930688131
87,0.485478291,1.747392535,3.80816588
88,-0.29619374,0.531336293,-0.605047018
89,-0.851533759,1.623344901,4.879799034
90,1.095629249,0.456307684,1.25615416
91,-0.073749652,0.967184808,4.533394748
92,-0.037428325,0.628406148,0.849501339
93,-0.570670431,0.622896655,0.378657324
94,-0.159029563,0.808558831,3.521835797
95,0.377576746,0.248231574,-3.985304761
96,2.274602217,0.238396793,2.430914606
97,-1.143859373,0.414365194,-0.127164714
98,-0.543416585,0.359966903,-0.926909286
99,-0.51453962,2.119997219,5.056395196
100,0.377287157,2.971258485,3.930688131
101,0.705381477,3.96319548,4.728248836
102,2.045966295,0.846835746,5.258405615
103,0.823503962,0.618266191,1.957919243
104,0.908681121,0.431349044,-0.03271057
105,0.087593826,1.922962318,4.17746906
106,1.353537607,2.828832445,6.305486887
107,0.107783939,4.944479786,4.253277063
108,-0.102660382,1.29501013,5.018981731
109,0.45410898,1.439512874,3.405081215
110,0.817523018,2.93844668,5.229632681
111,0.701907154,0.232023168,-2.587563025
112,0.942378258,0.36452752,-0.662491396
113,-0.257853918,1.915023143,5.071773316
114,0.382308865,0.801151198,1.874336812
115,0.63599213,1.365593351,4.704806542
116,0.011622646,1.036948522,5.140117548
117,-0.022630665,0.403242076,-1.98054464
118,0.992730607,0.297221403,-0.702422399
119,-1.168364955,3.734810614,5.071711751
120,-0.369508978,0.828702139,3.088616413
121,-0.440388879,0.780900224,2.467009077
122,-0.776341165,0.963185534,3.262619334
123,-1.619480494,0.268288825,-0.424099829
124,-0.95538907,1.851821612,4.970278247
125,0.281155682,1.76446706,3.762702772
126,-0.038413069,0.52740261,-0.725745811
127,-0.431950382,2.685057248,5.037450052
128,1.596233524,7.073984583,5.789183256
129,0.027266852,1.113983019,5.177503958
130,-2.188745601,2.20503476,4.549938031
131,-2.828834152,2.839305728,4.605902582
132,-0.306338939,0.887441931,3.659342436
133,-0.690924122,4.820445962,4.283128611
134,-0.326623581,0.584257068,-0.005815515
135,-0.23583268,0.765222472,2.634919628
136,0.282100865,1.153718994,3.866638578
137,0.747052915,0.68006862,2.568483569
138,0.689993965,0.389719029,-1.720463178
139,0.115073985,0.256718527,-4.761667816
140,-0.851602003,1.731481404,4.970278247
141,-0.355890097,1.852756547,5.056395196
142,1.389136226,0.116627723,0.157264103
143,-0.008661014,0.242002931,-4.245648143
144,0.104394762,1.064455037,5.094744078
145,-0.46543448,1.307421007,4.797520261
146,-0.449522401,1.900320746,5.101236653
147,-1.207781647,0.480025015,-0.005815515
148,0.172588076,0.588612064,-0.652947151
149,1.039512171,2.475244629,6.155815051
150,-0.865037193,0.861343454,2.636956447
151,-0.900968104,0.83333012,2.636956447
152,-0.857659894,0.176603994,-1.371391931
153,0.788232332,1.449798398,5.89911781
154,0.004055934,0.679118347,1.423714366
155,-1.335352189,1.794716082,4.494148773
156,-1.028917607,1.624021821,4.696211803
157,1.140717883,1.386942175,7.130473087
158,1.258628136,2.993993826,6.298255066
159,0.991516902,1.021351521,7.137127126
160,0.088087673,1.321844299,5.015481127
161,0.601628762,1.2450653,4.117482003
162,-0.262594391,0.872766621,3.659342436
163,-0.619969605,0.334861728,-0.926909286
164,1.383653645,0.659096514,4.786911711
165,-0.166970839,0.208089614,-4.124524508
166,-1.52315616,1.05843322,2.752150838
167,-0.667050009,1.600722314,4.970278247
168,0.903583653,1.882255261,6.155815051
169,-0.43760951,1.85138282,5.02633701
170,-0.230126593,0.907169191,3.918403704
171,0.266194679,1.034131871,4.094221454
172,-0.474796504,2.029662188,5.056395196
173,-1.792158518,3.032679607,5.015231136
174,-1.410349767,3.107974866,5.029001689
175,0.119832541,0.627780219,0.459401262
176,1.101813873,1.34665049,7.072326009
177,-0.522426738,2.351280131,5.071773316
178,-0.638788715,5.157368935,4.279684125
179,0.058696379,1.469983457,4.879503834
180,-0.551332215,0.908801985,3.262619334
181,-0.480855164,0.640811417,0.175615265
182,-0.358456204,0.758164992,2.467009077
183,-0.496585051,1.381024292,4.879799034
184,-1.357208788,0.317332805,-0.228890104
185,1.705767558,0.487020042,3.134781004
186,2.130479733,1.916009992,7.021156556
187,0.286550315,1.275593647,3.744653278
188,0.844919508,0.631363114,2.506624001
189,-0.917188418,0.362135322,-0.351512354
190,0.454600184,1.646946059,3.405081215
191,-0.681692505,0.477287941,-0.127164714
192,0.30536066,0.699401037,1.556375629
